,GRADUATEYEAR,STUDENTID,CalculusforScience,FundamentalsOfProgramming,HistoryAndDevelopmentOfComputerTechnology,MathematicsForScience,ObjectOrientedProgramming,ThaiLanguageSkills,PoliticsEconomyandSociety,PhilosophyOfScience,ManAndEnvironment,LifeSkills,LanguageSocietyAndCulture,EnglishCriticalReadingForEffectiveCommunication,ComputerArchitecture,DataStructure,DatabaseSystems,DiscreteMathematicsForComputerScience,LinearAlgebraAndApplications,OperatingSystems,StatisticalAnalysis,EnglishWritingForEffectiveCommunication,AlgorithmDesignandAnalysis,ArtificialIntelligence,ComputerNetworkAndDataCommunication,SoftwareEngineering,DataMiningTechniques,MobileApplicationDevelopment,MultimediaAnd WebTechnology,SensingAndActuationForInternetOfThings,Seminar,SystemAnalysisAndDesign,GPAgraduate
34,2562,100239668,2.0,2.5,3.8410714285714285,0.0,2.5,3.0,2.9541284403669725,2.5,3.5,4.0,2.5,4.0,1.5,1.0,3.0,2.0,2.453405017921147,2.0,1.5,2.5,2.0,2.0,2.0,2.0,3.0,3.5,2.5,2.9770408163265305,4.0,3.0,2.52
35,2562,100239684,4.0,2.5,3.8410714285714285,3.5,2.0,2.5,3.5,2.5,3.5,3.8441176470588236,2.5,3.5,2.0,1.5,3.5,3.5,2.453405017921147,2.0,2.5,2.0,2.5,3.0,2.0,1.5,2.5,2.8112745098039214,3.0,2.9770408163265305,4.0,3.0,2.67
36,2564,100239685,0.0,2.5,3.8410714285714285,1.0,2.0,3.5,2.9541284403669725,3.5,4.0,4.0,2.5,4.0,2.5,2.5,3.5,3.0,2.453405017921147,3.0,1.5,2.0,3.0,2.5,1.5,2.0,4.0,2.5,3.5,2.9770408163265305,2.5,3.5,2.82
37,2562,100239696,1.5,2.0,3.8410714285714285,1.0,1.0,3.0,2.0,2.5,2.5,3.8441176470588236,2.5,3.0,1.0,1.0,1.5,2.0,2.453405017921147,2.0,1.0,3.0,1.0,3.5,2.0,1.5,2.5,2.8112745098039214,2.5,2.9770408163265305,3.5,3.0,2.14
38,2562,100239699,1.5,4.0,3.8410714285714285,2.5,4.0,3.0,3.5,2.5,3.5,3.8441176470588236,2.5,4.0,4.0,1.5,4.0,3.5,2.453405017921147,2.0,3.0,2.5,3.0,3.0,2.0,3.5,2.5,4.0,2.0,2.9770408163265305,2.5,3.5,2.88
39,2562,100239728,1.5,2.5,3.8410714285714285,0.0,1.0,3.0,2.5,2.0,2.5,3.8441176470588236,2.5,3.5,1.0,1.0,2.0,1.5,2.453405017921147,2.0,1.5,3.0,2.0,2.0,2.0,1.5,2.5,2.8112745098039214,3.0,2.9770408163265305,3.0,3.0,2.31
40,2562,100239743,1.5,2.0,3.8410714285714285,1.5,1.0,2.5,2.5,2.5,3.5,3.8441176470588236,2.5,3.5,2.5,2.5,2.5,2.0,2.453405017921147,2.0,1.5,2.0,2.0,2.5,1.0,1.5,3.0,2.5,2.5,2.9770408163265305,4.0,2.0,2.18
41,2562,100239751,3.0,4.0,3.8410714285714285,3.0,4.0,3.5,2.9541284403669725,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.5,4.0,2.453405017921147,3.5,4.0,4.0,4.0,4.0,3.5,4.0,3.0,4.0,4.0,2.9770408163265305,4.0,4.0,3.79
42,2562,100239765,3.0,3.0,3.8410714285714285,4.0,3.5,3.5,2.9541284403669725,3.0,3.0,3.5,2.5,3.0,3.5,1.5,2.5,3.5,2.453405017921147,2.0,4.0,2.0,4.0,3.0,2.0,2.5,4.0,2.8112745098039214,3.5,2.9770408163265305,3.0,2.0,3.04
43,2562,100239799,2.5,3.5,3.8410714285714285,2.0,2.5,3.0,2.9541284403669725,2.5,4.0,4.0,2.0,2.0,2.5,2.0,4.0,3.0,2.453405017921147,2.0,3.5,1.0,2.0,3.0,2.0,1.5,2.0,2.5,2.5,2.9770408163265305,3.5,3.0,2.78
44,2562,100239815,1.5,2.5,3.8410714285714285,1.0,1.0,3.0,2.9541284403669725,2.5,3.5,4.0,3.0,3.5,1.0,1.0,3.5,2.0,2.453405017921147,2.0,2.0,2.0,2.0,3.5,2.0,3.5,2.5,3.0,2.0,2.9770408163265305,4.0,4.0,2.58
45,2563,100239827,0.0,1.5,3.8410714285714285,1.0,0.0,2.5,2.9541284403669725,2.0,3.0,3.0,2.5,1.5,1.5,1.0,0.0,2.0,2.453405017921147,2.0,0.0,3.5,1.5,1.0,1.0,1.0,2.5,2.8112745098039214,2.0,2.9770408163265305,2.5,1.5,2.0
46,2563,100239844,0.0,2.5,3.8410714285714285,0.0,1.0,3.0,2.9541284403669725,2.0,3.5,1.5,0.0,3.0,1.5,1.0,3.5,2.0,2.453405017921147,2.5,1.0,2.0,2.0,2.5,1.0,1.5,2.5,2.8112745098039214,2.0,2.9770408163265305,2.0,1.5,2.17
47,2562,100239854,1.5,2.5,3.8410714285714285,0.0,2.0,3.0,2.9541284403669725,2.5,3.0,2.5,2.5,3.5,1.5,1.5,2.5,2.5,2.453405017921147,2.0,1.5,3.0,2.0,2.0,2.0,2.5,2.5,2.5,2.5,2.9770408163265305,4.0,3.0,2.36
48,2562,100239887,4.0,4.0,3.8410714285714285,4.0,4.0,3.5,3.5,2.5,4.0,3.8441176470588236,2.5,4.0,4.0,4.0,4.0,4.0,2.453405017921147,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.9770408163265305,4.0,4.0,3.78
49,2562,100239895,1.5,2.5,3.8410714285714285,2.0,2.0,2.5,2.0,2.5,3.5,3.8441176470588236,2.0,2.5,3.5,2.5,1.5,3.0,2.453405017921147,1.5,2.5,2.0,2.5,1.5,2.0,2.5,2.5,2.5,2.0,2.9770408163265305,3.0,2.0,2.29
50,2564,100239901,0.0,2.0,3.8410714285714285,0.0,0.0,3.0,2.9541284403669725,2.0,3.5,3.5,2.0,1.5,1.5,1.0,1.0,1.5,2.453405017921147,2.0,0.0,2.0,1.0,1.0,1.0,2.0,1.5,2.0,1.5,2.9770408163265305,1.5,2.0,2.03
51,2562,100239902,1.5,2.5,3.8410714285714285,1.0,3.5,2.5,2.5,2.5,2.5,3.8441176470588236,1.5,3.0,2.5,2.5,2.0,2.5,2.453405017921147,4.0,1.5,2.0,2.0,3.0,2.0,3.5,4.0,3.0,3.0,2.9770408163265305,3.0,3.5,2.55
52,2562,100239914,1.0,2.5,3.8410714285714285,1.5,2.0,2.5,2.9541284403669725,2.5,3.5,4.0,3.5,2.0,2.0,1.0,1.5,3.0,2.453405017921147,2.0,2.5,1.5,2.0,2.5,2.0,2.0,3.0,2.0,2.0,2.9770408163265305,4.0,3.0,2.28
53,2562,100239934,1.5,4.0,3.8410714285714285,1.5,3.5,3.0,3.0,2.5,3.5,3.8441176470588236,2.5,2.5,3.0,2.0,2.5,2.5,2.453405017921147,2.5,2.0,1.5,2.5,1.5,2.0,2.5,2.0,4.0,2.5,2.9770408163265305,3.0,2.5,2.39
54,2566,100239968,1.5,2.5,3.8410714285714285,1.0,2.0,3.0,2.9541284403669725,3.0,3.5,4.0,2.0,2.0,2.0,3.0,0.0,2.5,2.453405017921147,2.5,1.5,2.0,2.0,2.0,1.5,1.0,2.0,2.8112745098039214,1.0,2.9770408163265305,3.0,1.5,2.01
55,2563,100239990,0.0,1.5,3.8410714285714285,0.0,2.0,2.5,1.5,2.0,3.5,3.5,2.0,3.0,2.0,1.0,1.5,2.5,2.453405017921147,2.0,1.5,1.5,1.0,1.5,0.0,2.0,2.5,2.8112745098039214,2.5,2.9770408163265305,2.5,3.0,2.15
56,2562,100240018,1.0,2.5,3.8410714285714285,1.0,2.0,3.0,2.9541284403669725,2.5,3.5,4.0,3.0,2.5,2.0,1.0,1.0,2.0,2.453405017921147,2.0,2.0,3.0,2.0,1.5,1.5,1.5,2.5,2.8112745098039214,2.5,2.9770408163265305,3.0,2.0,2.19
57,2562,100240030,2.5,3.5,3.8410714285714285,2.0,4.0,3.5,2.0,2.5,4.0,3.8441176470588236,2.5,4.0,4.0,2.0,3.5,3.5,2.453405017921147,2.0,2.5,2.5,4.0,3.5,2.0,3.5,3.0,4.0,3.5,2.9770408163265305,3.5,3.5,3.08
58,2562,100240059,2.5,4.0,3.8410714285714285,2.0,4.0,3.5,2.9541284403669725,2.5,4.0,4.0,3.0,3.5,4.0,4.0,3.5,3.5,2.453405017921147,2.5,3.0,2.5,3.5,3.5,2.0,3.0,2.5,3.5,3.5,2.9770408163265305,4.0,4.0,3.25
