GRADUATEYEAR,STUDENTID,CalculusforScience,FundamentalsOfProgramming,HistoryAndDevelopmentOfComputerTechnology,MathematicsForScience,ObjectOrientedProgramming,ThaiLanguageSkills,PoliticsEconomyandSociety,PhilosophyOfScience,ManAndEnvironment,LifeSkills,LanguageSocietyAndCulture,EnglishCriticalReadingForEffectiveCommunication,ComputerArchitecture,DataStructure,DatabaseSystems,DiscreteMathematicsForComputerScience,LinearAlgebraAndApplications,OperatingSystems,StatisticalAnalysis,EnglishWritingForEffectiveCommunication,AlgorithmDesignandAnalysis,ArtificialIntelligence,ComputerNetworkAndDataCommunication,SoftwareEngineering,DataMiningTechniques,MobileApplicationDevelopment,MultimediaAnd WebTechnology,SensingAndActuationForInternetOfThings,Seminar,SystemAnalysisAndDesign,GPAgraduate
2563,100249075,D+,B+,A,D+,C+,C,B,,,,B,C,C,D,B,C,B,C,D,D+,C,B,D+,C+,B,,,C+,B+,D+,2.39
2563,100249085,C,A,A,C+,A,B,,,,A,C+,A,A,C,A,B+,A,A,C,A,B,A,C,A,B+,A,,A,A,A,3.53
2563,100249097,C,B+,B+,C+,C+,C,,,,,B,C,C+,C,B+,B,B+,B,C+,C,B,B,C,B+,B,,,B,B+,B,2.73
2563,100249098,D,C+,A,D,C,C,,,,,,B,C+,D,C,D+,C,C+,F,C,C,C+,D,B,C+,C+,,,A,C+,2.28
2564,100249112,D,B,A,D,D,C,,,,,C+,C+,C+,D,C,D+,C,C+,D,C,D+,D+,D,C,C,,,,C,D+,2.03
2565,100249119,F,B,A,D,C+,B,,,,,,C+,D,D,F,D,D+,C,F,C,D+,B,F,C,C,,,,A,D,2.02
2563,100249141,C+,A,A,B,A,B,,,,,,B+,A,A,A,B+,A,C+,C+,C+,B+,A,C+,B,C,A,,B+,A,A,3.43
2564,100249157,C,D+,B,C+,C,C+,,,,A,C,D+,C+,D+,B+,C,C,C,D,C,D+,D+,F,C+,C,,,,B+,C,2.2
2563,100249160,D+,B,A,F,C+,C+,,,,A,B,B+,A,C,B,C+,B,C+,D,B,C,A,C,B+,B,C,,A,A,B,2.94
2563,100249183,D+,B+,A,C+,A,C,C+,,,B+,,C+,C+,C+,A,C+,B+,C+,C,B+,B,B,C,C+,C+,,,A,B+,B,2.72
2563,100249194,D+,B,B+,D+,B,C+,C+,,,,C+,C,C+,C,B,C+,B,B,D,B,C+,B,C,B,C+,B,,,B+,B+,2.65
2565,100249197,D+,B,B+,C,C,C,B,,,B,,C,C+,C,D,D,C,B,F,C,C+,D+,D+,C+,B,,,,B,B,2.22
2563,100249208,D+,C,B+,D,D,D+,,,,,,C,C,D+,B+,D,C,C+,D,D,C,D+,D+,C+,C+,D+,,C+,C+,C,2
2563,100249213,D,C,A,D+,C,C,,,,,,C,C,D,B,D+,C+,C+,D+,D+,C,C,D,B,B+,C,,C+,B+,C+,2.17
2563,100249214,C+,C+,A,C,B,C+,,,,,,B,B,C+,A,C+,B,C,C,C+,C+,B+,C,A,C+,B,,,B+,B,3.08
2565,100249231,F,A,A,C+,B+,C,,,,,,C,C+,C+,D,C,C+,C,D,D+,C,B,D+,C+,C,B,,C+,A,C,2.44
2563,100249235,C,B+,A,B,B+,C,,,,,,C,B,C,A,B,B+,C,D+,D+,C+,B,C,B,B,B+,,B,B+,B+,2.75
2563,100249262,D,A,B+,C,A,C,,,,,C+,B,B,C,B+,C,C+,C+,D,C+,C,B,C,B,C+,B,,,B,C+,2.71
2563,100249265,D+,A,A,C+,B+,B,,,,A,C+,C+,B+,C,A,B+,A,B+,D+,C+,C+,A,C,A,B,A,,B+,A,A,3.13
2563,100249268,D+,B+,A,F,C+,C+,,,,A,B,B,B,D+,C+,C+,B,C+,D,C+,C,B,D+,B+,B,C,,B+,A,B,2.66
2563,100249276,C,B,B+,C,B,C+,,,,A,,C,C+,D+,B+,C+,A,C,C,C,C,B,C,C+,B,D,,C+,B+,B,2.52
2563,100249281,D+,C+,B+,D+,C,C+,C+,,,B+,,B,D+,D+,D,D,C,C,D,C,C,C,D,C,C+,D+,,,B+,C+,2.15
2563,100249287,A,A,B,A,A,C,,,,,,C,A,B+,C,A,A,C+,C+,C,B,B+,C,B,C+,A,,B+,A,B,3.08
2563,100249313,D,C,B+,D,C,C+,B,,,,,B,B,D,B+,D+,C+,C+,D,C,C,B,D+,B,C+,,,C,A,B,2.44
2563,100249317,D+,B+,B+,C+,A,B,,,,A,C+,B,B+,D+,F,C+,A,C+,D,D+,C+,C+,C,B+,A,C+,,,C+,C+,2.72
2564,100249331,F,C,A,F,D+,C+,B,,,,C+,C,C,D,C,D,C+,C+,D,C,C,C,F,B+,C,,,,B+,D+,2.19
2563,100249340,C+,C,B,F,C,C,,,,A,,D+,C,D,C,B+,B,C+,C,C,C,B+,C,C,C+,D,,C+,B+,B,2.34
2563,100249355,D+,A,A,D+,A,C+,B+,,,B,,A,D+,C,B+,C,C+,A,D+,A,B,C,C,C+,B,C+,,B,A,B,2.81
2563,100249378,D+,B,A,D,C,C,,,,A,B,C,C,C,A,D+,C+,C+,D,C,C,C+,C,B+,C,,,B+,A,C+,2.5
2563,100249382,D+,D+,B+,D+,C,C,,,,,,C,C,D+,D+,D,C,C,D,D+,D+,C,D,C,C,C,,,B+,C+,2.07
2563,100249400,C+,A,A,B,A,C+,,,,A,B,B+,A,B,A,A,A,B+,C,C+,B,A,C,A,C+,A,,A,A,A,3.39
2563,100249405,B,C+,B+,C,C+,C,A,,,A,C,B,C,D+,B,C+,B+,C+,D,B,C+,C+,C,B,B,C,,B+,A,D+,2.63
2563,100249406,F,B+,B+,D,A,C+,,,,A,,C,C+,C+,B,C+,C+,B+,D,C,C,B+,D+,B,C,B,,B+,A,C,2.58
2563,100249415,F,B+,C,D+,C,F,,,,,C+,F,C,D+,D,D,C,C,D+,D+,C,D+,D+,C+,B,C+,,B,C+,B,2.1
2563,100249416,F,B+,A,D+,A,C+,,,,,,C,B,C,B,C+,B+,C+,D,C,C,B,C,C+,C+,C+,,B,A,C+,2.68
2564,100249419,F,C+,B+,D,C,C,,,,,,C,C,D,C,D,B,C,D,C,D+,D+,D+,C,C+,,,B+,C+,C,2.16
2563,100249428,F,C,A,D,C+,C+,,,,,B,C+,C+,D+,B,C,C+,C,F,C+,C,C,C,C+,B,,,C,B+,C+,2.4
2563,100249434,F,B,B+,D,B,C,,,,,,C+,C+,C,D,D+,D+,C,F,B,C,B,C,B,C+,D+,,C,B,B,2.39
2564,100249457,D+,C,A,D+,D,C,,,B,B+,C+,C,D+,D,D,D,C,C+,F,C,C,D,D,C+,C,,,C+,B,C+,2.03
2563,100249461,D+,A,A,D+,B+,C,,,A,,C+,C,C+,C,A,B,C,C,D,C,C,B+,C,B,C+,B,,C+,A,C+,2.65
2563,100249463,D+,A,A,D+,C+,C+,B+,,,A,B,D+,C,D+,D,C+,C+,C,F,B,B,C+,C,B,C+,,,B+,A,C+,2.59
2563,100249498,D,C,B+,D+,C,C,C+,,,A,,D+,C,D,D+,D,D+,C,D,C,C,C+,D+,C+,B,,,C+,B+,C,2.17
2563,100249499,C,C+,A,C,C+,B,B+,,,A,,B,C+,D,C,C,C+,C,D+,B,C+,D+,D+,B,C,,,C+,B,C,2.45
2563,100249506,F,B,A,F,B,C,,,,A,,C,C,C,A,C,C+,C,D+,C,C+,C+,D+,C+,C,D+,,C+,A,C,2.46
2563,100249518,D+,A,B+,D+,B+,C+,,,,,,D+,C+,C,D,C,B,C+,D,C,C,D+,D,C+,C+,D+,,C,A,C,2.31
2564,100249527,D+,B,A,D,B,C+,C+,,,A,,C,D+,D,B,C+,C,B,F,C,C+,C+,D+,C+,C+,,,,B,D+,2.27
2564,100260652,D+,B,A,C+,B,C+,A,,,,,C,C+,D+,C+,C,C+,D+,D+,B+,C+,C+,C,C,C,,C,,A,C,2.55
2564,100260653,C+,A,B+,C,A,C+,C+,,A,,,C+,C+,D+,C+,C,C+,C,C,B+,B+,D,D+,C+,C+,,B+,C+,C+,C,2.49
2564,100260658,D+,C+,A,C,C,B,B,,,,,C,C,D,B,D+,C,C+,D+,B+,C+,C,D+,B,C+,,C+,,A,C+,2.54
2564,100260661,C,C,B+,D,B,C,B,,,A,,C,C+,C+,B,D+,C+,C+,D+,B+,B,D+,C+,C+,C+,C+,B,C+,B,C+,2.42
2564,100260662,C,A,A,A,B+,B,B,,,,,C,B,C+,C+,B,B,C,A,B,C+,C+,C,C+,C+,B,A,C+,B+,C+,2.92
2564,100260667,D+,A,A,C,A,C,A,,,A,,A,A,B,A,C+,A,A,B,A,A,B+,A,B+,C+,A,A,A,A,C+,3.4
2564,100260678,D,C,A,D+,C,C+,B+,,,A,,C,C,C,B,C,C+,C,D+,B,C+,C+,D,B,C+,,C,B,B,B+,2.46
2564,100260684,C+,C,A,D,D+,C,,,,,,B,C,D+,B,D,D+,C,D,B,D+,D+,D,C,C,,B,C,A,C,2.15
2564,100260689,D,A,A,C,B+,C,C+,,,,,C,C,C+,D+,D,C+,C,D,C,C,D+,D,C,C,,C+,B,A,D+,2.1
2564,100260700,C+,A,A,C,A,B,A,,,,,B,C+,C+,B,D+,B,C+,D,A,C+,D+,C,C,C,,A,,B,C,2.7
2564,100260701,C+,B,B+,D+,C+,C+,,,,,,C+,C,D+,C+,C,C+,C,D+,B+,C,D+,C,C,C+,D+,B,,B+,C+,2.52
2564,100260717,D,D+,B+,D,C+,C,B,,,,,C,C+,D,C+,D,C,C,F,C+,C,C,D+,C,,D+,C,B,A,C,2.18
2564,100260731,C+,A,B+,B,A,C,,,,,,B,C+,C+,B,D,C+,C,D+,B+,C+,C,D,C,C,B+,A,,B,D+,2.65
2564,100260747,D+,B+,A,C,B+,C+,,,,A,,B,B,C,B,C,B,C,C,A,B,C,C,C,C+,,B,,A,C+,2.71
2564,100260763,C,A,A,D+,C,C,,,A,,,B+,C+,D+,C+,D+,C+,C,D+,B+,B,D+,C,C+,C,,C,B+,B+,C,2.43
2564,100260771,C+,A,A,D,A,C+,,,,,,C+,C+,D+,B,D+,C+,C+,D,A,C,C,D+,B,C,A,B+,B,A,C,2.61
2564,100260773,D+,B+,A,D+,C,C+,,,,A,,C+,C+,D+,C+,D+,C,C,D,A,D+,D+,F,C,C,,C,,B+,C,2.3
2564,100260774,C+,A,A,D+,A,C+,C+,,,A,,B,A,A,B+,C+,B+,C+,B+,A,A,C+,C+,A,C+,A,A,B+,B,C+,3.13
2564,100260780,D+,C+,A,C,B,C,C+,,,,,B,C+,D+,B,D+,B,C,C,B+,C+,D+,C,B,C,,C+,C,B,C,2.42
2564,100260798,B,B,A,C+,C,C,C,,,,,C,D+,D,C+,D,D+,C,D,B+,D+,D,F,C,,D,C,B,B+,D+,2.11
2564,100260799,C+,C,A,F,B,C,,,,,,C,C,D,C+,C,C,C+,D+,A,C,D,D+,B,C,C,C+,,A,C+,2.38
2564,100260827,C+,A,A,B,A,C+,,,,,,B+,B+,C,B+,C+,C+,C,C,A,B+,C,C,B,,,B+,B,A,B+,3.03
2564,100260842,C,B+,A,B+,A,C,D+,,,,,C+,D+,D+,C+,C,C+,C,D+,A,D,B,D,C,C+,,D+,,A,C,2.33
2564,100260844,D,C+,A,C,C,C,B+,,,,,C,C,D,B,D+,C,D+,D+,B,B,D+,F,B,C+,C,B,,C+,A,2.42
2564,100260850,C+,C,B,D,D+,D+,,,A,,,C,C,D,C,C,D+,C,C,C+,C,C,D+,C,C,,C,C+,B,C,2.14
2564,100260860,C+,B,B+,D+,C,D,,,,,,C+,B,C,C+,C,C,C+,D+,A,B,B,C,B+,C+,C+,C,B,B+,C+,2.55
2564,100260864,B,A,A,B,A,C+,,,,,,C,A,A,B+,C+,A,C,C+,C+,B+,C+,C+,C+,B+,C+,A,B+,A,C+,3.1
2564,100260885,C+,A,B+,C,A,B,C+,,A,,,B+,B,B+,C,C,C+,C+,D+,A,D,D+,C,B+,,B+,A,C+,B+,B+,2.79
2564,100260890,C,D+,B+,C,C,C,,,,A,,C,C+,D+,B,C+,B,C+,C,B,B+,C,C,C+,B,,C,B,B+,B+,2.62
2564,100260892,D+,B+,A,C,A,C,C+,,,,,C+,D+,D+,B,D+,C+,C+,D,B,C+,C,F,C,C,,C+,C,C,C,2.37
2564,100260909,D+,A,B+,B+,A,C,,,,A,,C+,C+,C,D+,D,C,C,C,B+,D+,C+,D,B,B,A,B+,C,A,C,2.58
2565,100260912,C+,A,A,C+,A,C+,,,A,,,C,C+,C+,C+,C+,A,B,C,A,B+,A,F,C+,B+,A,B+,B+,A,B+,3.01
2565,100260920,C+,B+,A,C+,A,C+,B+,,,,,A,C+,D,C+,D+,A,C,D+,B+,C,C,D+,C+,C+,D+,C,D+,B,D+,2.6
2564,100260921,D+,A,A,D,A,C,C,,,,,C,B+,C+,B,C,C,C,D+,B+,C+,C+,D,C,B,C+,B+,,A,C+,2.54
2564,100260935,C,B+,B,D+,C,C+,B,,,,C,C,C+,D+,C+,D+,D+,C,D,B+,B+,C,D+,C+,C,D+,B,,C+,C,2.22
2564,100260960,D,A,A,C,A,B,C+,,,,,C+,C,C+,C+,C,C,C,D+,A,B+,C,D+,B,C+,C+,B,C+,B+,C+,2.65
2564,100260971,D,D+,B,F,C,C,B+,,,,,D,D,D,C+,D,C,C,D+,B+,C,C+,F,C,C,,C,,B,A,2.16
2564,100260972,C,C,A,D+,C,C+,,,,A,,C,D+,F,C+,C,C,D+,D+,B,C+,C+,C+,C+,C,,B,B,A,B+,2.47
2564,100260987,C+,D+,B+,D+,D,C,,,,A,,C,D,D,B+,D+,D,C+,F,B,B,D+,F,C+,B,,C+,B,B,B+,2.38
2564,100260991,C,B+,A,D+,A,C,C+,,,A,,B+,B+,A,C+,C+,B,B,C+,A,A,B,A,B+,C+,B,B+,B+,B+,B,3.16
2564,100261022,B,A,A,B+,A,B,,,A,,,B+,B,D+,B,B,A,B+,B,A,A,B+,D+,C+,C+,A,B+,B,A,A,3.14
2564,100261023,C+,B,B,B+,A,C+,,,,,,C,B,C+,C,B,D+,C,C,A,B,C,C,C+,C,B,C+,,B+,C,2.71
2564,100261031,C,A,A,D+,A,C,B,,A,,,D+,B,C+,C+,C,C+,B,D+,C+,B+,C+,D,B+,B+,B,B,B,A,B+,2.72
2564,100261038,D+,C,B,D+,C+,C+,,,,,,C,C,D+,C+,D+,C+,C,D+,A,B,D+,C,C,C+,D+,B+,,B,C+,2.47
2564,100261047,B,A,A,B+,A,C+,B,,,A,,B,B+,B,A,C+,A,B,B+,A,A,B+,A,B+,C+,A,A,A,A,B+,3.44
